nBids,PowerSeller,VerifyID,Sealed,Minblem,MajBlem,LargNeg,LogBook,MinBidShare,Sold
2,0,0,0,0,0,0,-0.2237,-0.2088,1
6,1,0,0,0,0,0,0.6073,-0.3478,1
1,1,0,0,0,0,0,0.0332,0.4423,1
1,0,0,0,1,0,0,0.3755,0.1441,1
4,0,0,0,0,0,1,1.4347,-0.4104,1
2,0,0,0,0,0,0,-0.9142,0.6318,1
2,0,0,0,1,0,0,-0.2477,0.2953,1
2,0,0,0,0,0,0,-0.9142,0.6318,1
2,1,0,0,0,0,0,0.5108,0.055,1
6,0,0,1,0,0,0,-0.3621,0.0247,1
0,1,0,0,0,0,0,-0.2237,0.4767,0
3,0,0,0,1,0,1,-0.4574,-0.2124,1
5,0,0,0,0,0,0,0.8863,-0.5257,1
3,0,0,0,0,0,0,0.3755,-0.4041,1
1,1,0,0,0,0,0,0.0732,0.1278,1
5,0,0,0,0,0,0,-0.3621,-0.3207,1
2,0,0,0,0,0,0,-0.3621,-0.3207,1
8,1,0,1,0,0,0,0.9205,-0.3273,1
5,1,0,1,0,0,0,0.2189,-0.0726,1
7,1,0,1,0,0,0,0.8863,-0.3186,1
5,1,0,1,0,0,0,0.2189,-0.0726,1
3,1,0,1,0,0,0,-0.052000000000000005,0.0845,1
6,0,0,0,0,0,1,1.9993,-0.5337,1
3,0,0,0,0,0,0,0.7365,0.2605,1
0,0,0,0,0,0,0,0.0332,0.9407,0
1,0,0,0,0,0,0,-1.0254,0.6564,1
2,0,0,0,0,0,0,-1.1506,0.5543,1
7,0,0,0,0,0,0,1.0758,-0.4843,1
7,0,0,0,0,0,0,1.4347,-0.5125,1
6,0,0,0,0,1,0,0.5108,-0.4134,1
1,1,0,0,0,0,0,-0.6398,0.7415,1
6,0,0,0,0,0,0,0.7365,-0.4375,1
4,1,0,0,0,0,0,-0.6398,-0.1385,1
1,1,0,0,0,0,0,-1.0254,0.5976,1
3,1,0,0,0,0,0,-0.9142,0.4739,1
0,0,0,0,0,0,0,0.0332,0.4835,0
6,1,0,0,0,0,0,-0.6398,-0.1385,1
4,1,0,0,0,0,0,-0.1723,-0.3025,1
1,0,0,0,0,0,0,-0.5628,0.4956,1
3,1,0,0,0,0,0,-0.8141,0.3737,1
4,1,0,0,0,0,0,-0.4608,0.3186,1
3,1,0,0,0,0,0,-1.0254,-0.0506,1
1,0,0,0,0,0,0,-0.7231,0.5954,1
0,0,0,0,0,0,0,-0.3033,0.9046,0
0,0,0,0,0,0,0,0.0332,0.4427,0
0,0,0,0,0,0,0,0.0332,1.0509,0
2,0,0,0,0,1,0,-0.0767,-0.2615,1
3,0,0,0,0,1,0,-0.2477,-0.2025,1
3,0,0,0,0,0,0,-0.6398,-0.2585,1
9,0,0,0,0,0,0,0.3755,-0.3896,1
4,1,0,0,0,0,0,-0.052000000000000005,-0.0044,1
6,0,0,0,0,0,0,0.3755,-0.1432,1
6,0,0,0,0,0,1,1.9993,-0.5337,1
1,0,0,0,0,0,0,0.23399999999999999,-0.1119,1
2,0,0,0,0,0,0,-0.6044,0.5026,1
3,1,0,0,0,0,0,-0.8141,-0.0072,1
3,1,0,0,0,0,0,-0.7231,-0.0568,1
5,1,0,0,0,0,0,-1.0254,0.127,1
4,1,0,0,0,0,0,-0.7231,-0.0568,1
3,1,0,0,0,0,0,-1.0254,0.127,1
3,1,0,0,1,0,0,-1.0923,0.1758,1
3,1,0,0,0,0,0,-0.9142,0.0528,1
4,0,0,0,0,0,0,0.40399999999999997,-0.1554,1
1,1,0,0,0,0,0,0.5108,0.5556,1
4,1,1,0,0,0,0,0.9205,-0.494,1
6,0,0,0,0,0,1,0.674,-0.4381,1
0,1,0,0,0,0,0,0.1487,0.695,0
2,1,0,0,0,0,0,-1.0254,0.5517,1
2,1,0,0,0,0,0,-0.9142,0.5276,1
7,0,0,0,0,0,0,0.40399999999999997,-0.3244,1
2,1,0,0,0,0,0,-0.9142,0.5065,1
1,1,0,0,0,0,0,-0.5628,0.3927,1
5,0,0,0,0,0,0,0.40399999999999997,-0.4153,1
2,1,0,0,0,0,0,-0.8141,-0.0072,1
0,1,0,0,1,0,0,2.8247,0.1852,0
4,1,0,0,0,0,0,-0.7231,-0.0568,1
3,1,0,0,0,0,0,-0.8141,-0.0072,1
1,1,0,0,0,0,0,-1.0254,0.127,1
1,1,0,0,0,0,0,-1.0254,0.127,1
4,1,0,0,0,0,0,-0.7231,-0.0568,1
1,1,0,0,0,0,0,-1.0254,0.127,1
2,1,0,0,0,0,0,-1.0923,0.1758,1
3,1,0,0,0,0,0,-0.9142,0.0528,1
2,1,0,0,0,0,0,-0.9738,0.0916,1
0,1,0,0,0,0,0,2.8247,0.1635,0
0,1,0,0,0,0,0,0.0332,0.6019,0
3,1,0,0,0,0,0,-0.6398,-0.0985,1
5,1,0,0,0,1,0,-0.0767,-0.3508,1
4,0,0,0,0,0,0,0.5108,-0.4318,1
3,1,0,0,0,0,0,-0.7231,-0.0568,1
1,1,0,0,1,0,0,-1.0254,0.127,1
2,1,0,0,0,0,0,-0.9142,0.0528,1
6,0,0,0,0,0,0,0.5108,-0.4318,1
5,1,0,0,0,0,0,-0.3033,-0.264,1
2,1,0,0,0,0,0,-1.0923,0.6789,1
4,1,0,0,0,0,0,-0.4608,0.3521,1
2,1,0,0,0,0,0,-1.1506,0.7543,1
2,1,0,0,0,0,0,-1.0254,0.5976,1
1,1,0,0,0,0,0,0.5108,0.5337,1
0,1,0,0,0,0,0,0.5108,0.5347,0
2,1,0,0,0,0,0,-0.052000000000000005,0.0863,1
0,1,0,0,0,0,0,0.3755,0.4629,0
1,1,0,0,1,0,0,-0.2477,0.2953,1
6,1,0,0,0,0,0,1.0758,-0.4634,1
9,0,0,0,0,0,1,1.4347,-0.5049,1
2,0,0,0,0,1,0,0.40399999999999997,-0.1568,1
1,0,0,1,0,0,0,-0.3621,0.4193,1
4,0,0,1,0,0,0,-0.3621,0.4193,1
8,0,0,0,0,0,0,0.9205,-0.376,1
1,0,0,1,0,0,0,-0.3033,0.3623,1
6,0,0,0,0,0,0,0.7455,-0.3184,1
6,0,0,0,0,0,0,0.5108,-0.3627,1
0,0,0,0,0,0,0,0.0332,0.4244,0
3,0,0,0,0,0,0,-0.3621,-0.3207,1
4,0,0,0,0,0,0,-0.3621,-0.3207,1
4,0,0,0,0,0,0,-0.4574,-0.295,1
5,1,0,1,0,0,0,0.2189,-0.0726,1
6,1,0,1,0,0,0,0.8863,-0.3186,1
4,1,0,1,0,0,0,0.2189,-0.0726,1
5,1,0,1,0,0,0,-0.052000000000000005,0.0845,1
4,1,0,1,0,0,0,-0.3621,0.3253,1
5,1,0,1,0,0,0,-0.3621,0.3253,1
5,1,0,1,0,0,0,-0.3033,0.2737,1
3,1,0,1,0,0,0,-0.3621,0.3253,1
2,0,0,1,0,0,0,-0.3621,0.2672,1
6,0,0,0,0,0,0,0.0332,-0.2312,1
5,0,0,0,0,0,0,-0.8141,-0.1977,1
4,0,0,0,0,0,0,1.1181,-0.5226,1
4,0,0,0,0,0,0,-0.3621,-0.3359,1
4,0,0,0,0,0,0,-1.0254,-0.1094,1
6,0,0,0,0,1,0,0.3755,-0.1754,1
4,1,0,0,0,0,0,-0.052000000000000005,-0.1332,1
7,0,0,0,0,0,0,0.9205,-0.4436,1
6,0,0,0,0,0,0,0.40399999999999997,-0.1551,1
4,1,0,0,0,0,0,0.3295,-0.1558,1
6,0,0,0,0,0,1,0.5108,-0.38299999999999995,1
1,0,0,0,0,0,0,-0.2477,0.6061,1
1,1,0,0,0,0,0,0.0332,0.6019,1
7,0,0,0,0,0,1,0.5108,-0.38299999999999995,1
0,0,0,0,0,0,1,-0.3621,0.7544,0
0,1,0,0,0,0,0,0.0332,0.2382,0
5,0,0,0,0,0,1,0.6073,-0.4009,1
7,0,0,0,0,0,0,0.5108,-0.4514,1
6,1,0,0,0,0,0,-0.2237,-0.2616,1
4,1,0,0,0,0,0,-0.052000000000000005,-0.3651,1
3,0,0,0,0,0,0,-1.0254,0.2435,1
6,0,0,0,0,0,0,0.5108,-0.2045,1
0,0,0,0,0,0,0,0.40399999999999997,0.5885,0
4,1,0,0,0,0,0,-0.5628,-0.171,1
1,1,0,0,0,0,0,-1.0923,0.6789,1
2,1,0,0,0,0,0,-0.7231,0.29100000000000004,1
4,1,0,0,0,0,0,-0.3621,-0.245,1
2,1,0,0,0,0,0,-1.0254,0.5976,1
1,1,0,0,0,0,0,0.4852,0.0769,1
2,1,0,0,0,0,0,-0.3033,0.4337,1
2,1,0,0,0,0,0,0.674,0.10400000000000001,1
3,1,0,0,0,0,0,0.674,0.0503,1
2,1,0,0,0,0,0,1.1181,0.1699,1
5,0,0,0,0,0,1,0.5108,-0.38299999999999995,1
0,1,1,0,0,0,0,0.1487,0.4732,0
7,0,0,0,0,0,0,0.7455,-0.4578,1
6,0,0,0,0,0,1,0.6073,-0.4009,1
3,0,0,0,0,0,0,0.5108,-0.0308,1
2,0,0,0,0,0,0,0.0332,0.0035,1
8,0,0,0,0,0,1,0.9205,-0.4484,1
5,0,0,0,0,0,0,0.9205,0.1215,1
4,0,0,0,0,0,0,1.0758,-0.0511,1
0,1,0,0,0,0,0,0.0332,0.2586,0
6,0,0,0,0,0,0,0.1487,-0.033,1
4,0,0,0,0,0,1,1.9993,-0.5337,1
2,1,0,0,0,0,0,-0.7231,-0.0568,1
2,0,0,0,0,0,0,-1.0254,0.2435,1
2,1,0,0,0,0,0,-0.8141,-0.0072,1
3,1,0,0,0,0,0,-0.9738,0.0916,1
2,1,0,0,1,0,0,-1.0923,0.1758,1
2,0,0,0,0,0,0,-1.0254,0.0282,1
12,1,0,0,0,0,0,-0.3621,-0.3668,1
0,0,0,0,0,0,0,-0.9142,0.1592,0
4,0,0,0,0,0,0,0.0534,-0.2597,1
5,0,0,0,0,0,0,-0.3033,-0.1234,1
5,1,0,0,0,0,0,-0.9738,-0.1375,1
4,1,0,0,0,0,0,-0.9142,-0.1629,1
1,0,0,0,0,0,0,0.0332,0.0342,1
